id,ean13,description,unit_id,number,brand,category_id
1,"7791476063004","Poroto Egran Colorados x 500.00 Gr",1,500,"EGRAN",\N
2,"3607342257429","Colonia Playboy Lovely Botella x 75 Ml",2,75,"PLAYBOY",\N
3,"7798033332290","Polenta Carrefour x 1 Kg",3,1,"CARREFOUR",\N
4,"0000077942289","Desodorante Antitranspirante en Aerosol Active Emotion Rexona x 56 Gr",1,56,"REXONA",\N
5,"7790742144904","Leche Descremada Calcio La Serenisima x 1000 Cc",4,1,"LA SERENISIMA",\N
6,"7622300056483","Chocolate M Joy Leche Milka x 70 Gr",1,70,"MILKA",\N
7,"7793126000582","Dulce de Zarzamora Patagonia Berries x 350 Gr",3,0.35,"P. BERRIES",\N
8,"8001250220028","Aceite Oliva de Cecco Extra Virgen Bot 500 Ml",2,500,"DE CECCO",\N
9,"7899026483408","Acondicionador Keraliso Sedosidad Elvive x 750 Cc",2,750,"LOREAL PARIS",\N
10,"7790360026583","Hamburguesa Clasica Swift x 20 U",3,1.6,"SWIFT",\N
11,"8001250120106","Fideos Fedelini de Cecco x 500 Grs",5,1,"DE CECCO",\N
12,"7798152229976","Mermelada de Pera Frasco Carrefour x 454 Gr",1,454,"CARREFOUR",\N
13,"7791337409019","Postre Vainilla Bombas Crocantes Serenito X122 Grs",1,118,"SERENITO",\N
14,"7793065001091","Aceite Costa Del Sol Girasol Maiz 900Cc",2,900,"COSTA DEL SOL",\N
15,"7791293021362","Axe Shower Gel Vice 12 x 250 Ml",2,250,"AXE",\N
16,"7790740505547","Shampoo Humectacion Plusbelle x 1 Lt",3,1,"PLUSBELLE",\N
18,"7791130001229","Lavado a Maquina Complete Woolite Liq.Para Lavar x 450.00 Ml",2,450,"WOOLITE",\N
19,"7792459001549","Pasacera Express Lg x 1.00 Pce",5,1,"LA GAUCHITA     ",\N
20,"7791102005897","Anana Trozos Coop",1,565,"COOPERATIVA",\N
21,"7793008013891","Coloracion Issue 3D Gloss N8 Caja x 1 Un",5,1,"ISSUE",\N
22,"7793650000256","Arroz Largo Fino Atomo 0000 1000 Grs",1,1000,"ATOMO",\N
23,"0070501812921","Crema Neutrogena Pote x 56 Gr",1,56,"NEUTROGENA",\N
24,"8004323111643","Fideos Orecchiette Colavita x 500 Grs",5,1,"COLAVITA",\N
25,"7791675000404","Aceitunas Descarozadas Castell x 110 Gr",1,110,"CASTELL",\N
26,"7790520012210","Aromatizante de Ambiente Glade Sensations Car Rep Lavanda Marina x 0.09 Cc",6,0.09,"GLADE SENSATIONS CAR",\N
27,"7899706118828","Acondicionador Fibralogy Elvive x 400 Cc",2,400,"LOREAL PARIS",\N
28,"7790580470609","Caramelos Arcor Cristal Menta Bolsa x 150 Gr",1,150,"CRISTAL",\N
